Track,Album Name,Artist,Release Date,All Time Rank,YouTube Views,TikTok Views,Explicit Track
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,12/2/2022,1191.0,21886334.0,19.0,1
Daqui pra Sempre,Daqui pra Sempre,Manu,9/22/2023,514.0,340975288.0,179.0,0
"Satranga (From ""Animal"")","Satranga (From ""Animal"") - Single",Arijit Singh,10/28/2023,690.0,240762258.0,190.0,0
PRINCESITA DE ...,ýýNFASIS,Jere Klein,12/1/2023,1103.0,139655492.0,245.0,1
FLECHAZO EN EL CENTRO,TU DUO FAVORITO,YSY A,9/6/2023,4142.0,53669961.0,305.0,0
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,300.0,40223001.0,312.0,0
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,1004.0,524571173.0,385.0,0
"Ruaan (From ""Tiger 3"")","Ruaan (From ""Tiger 3"")",Pritam,11/6/2023,4419.0,88129485.0,490.0,0
Creeper Star,Creeper Star,Leo Walrus,11/29/2022,1915.0,445360465.0,541.0,0
Mariposita,Mariposita,La Vaca Lola,3/4/2021,820.0,1562650492.0,747.0,0
UK Rap,Split Decision,Dave,6/4/2023,2882.0,11323598.0,921.0,1
Abcdario,Abcdario,Eden Muï¿½ï,5/13/2023,1738.0,149083889.0,939.0,0
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,9/4/2015,1030.0,3617929617.0,956.0,0
Loca - Remix,Loca [Bad Bunny Remix],KHEA,3/15/2018,4435.0,764618561.0,1068.0,1
Chakalitos,Chakalitos,Angi Fire,7/22/2023,2229.0,221422238.0,1172.0,0
Picky,Picky,Banda Coraleï¿½,12/9/2016,4290.0,1400964738.0,1188.0,0
PRC,PRC,Peso Pluma,1/24/2023,522.0,417352534.0,1213.0,1
Turbo S,PISTOLER POESI OCH SEX,Yasin,2/28/2023,1416.0,435442321.0,1239.0,1
Pakistan,Pakistan,D-Block Europe,6/29/2023,3594.0,15389226.0,1420.0,1
Carta Aberta,Carta Aberta,MC Cabelinho,11/27/2023,3341.0,70458259.0,2495.0,0
Straight and Narrow,Straight and Narrow,Sam Barber,4/12/2023,3078.0,152441.0,2771.0,0
SAN BENEDETTO,FOREGROUND MUSIC,Ron Gallo,3/3/2023,3371.0,260221988.0,3074.0,0
Saiyan,Saiyan,Heuss L'enfoirï¿,6/2/2023,3137.0,72443764.0,3247.0,1
Guay,Guay,Ozuna,4/18/2024,3392.0,7120990.0,3319.0,0
ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýý - Single,Wallem,3/12/2024,3081.0,39164465.0,3865.0,0
Kool-Aid,Kool-Aid,Bring Me The Horizon,1/5/2024,3235.0,16624763.0,4372.0,1
Drained of Color,Drained of Color,Exhumed,8/30/2022,129.0,2156140830.0,4484.0,0
Temporary pyar,Temporary pyar,Kaka,9/4/2021,4390.0,451922405.0,4585.0,0
Chase It (Mmm Da Da Da),Chase It (Mmm Da Da Da),Bebe Rexha,5/17/2024,3995.0,2816970.0,4881.0,0
FourFiveSeconds,FourFiveSeconds,Rihanna,1/24/2015,3374.0,571589993.0,5272.0,0
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")","90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,2/20/2024,1892.0,66986452.0,6127.0,0
Hands,Hands,Dianï¿½,8/1/2022,115.0,2435813922.0,6415.0,0
Lahore,Kultural Inkursions,Guru Randhawa,7/27/2018,3496.0,1174983850.0,6457.0,0
HOLA PERDIDA,HOLA PERDIDA,Luck Ra,1/5/2024,732.0,143032680.0,6600.0,0
Never Lose Me (feat. Lil Yachty),Never Lose Me (feat. Lil Yachty),Flo Milli,12/1/2023,3057.0,42010424.0,6760.0,1
Linea del Perreo (feat. Dj Kiire),Linea del Perreo (feat. Dj Kiire) - Single,Uzielito Mix,12/12/2023,1341.0,128889809.0,7595.0,1
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,3504.0,1035234284.0,8550.0,0
Danza Kuduro (feat. Lucenzo),100% tubes de l'ï¿½ï¿½tï¿½ï¿½ 2018 : La bande son 100,Don Omar,6/15/2018,1809.0,1498854054.0,8882.0,0
Love Me JeJe,Love Me JeJe - Single,Tems,4/25/2024,1274.0,8346529.0,9450.0,0
Abejita Chiquitita,Las Canciones de Plim Plim Vol. 8,El Payaso Plim Plim,9/8/2023,1102.0,272927101.0,11056.0,0
Members Only (feat. PARTYNEXTDOOR),For All The Dogs,Drake,10/6/2023,4075.0,8485348.0,11535.0,1
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,12/29/2021,3539.0,35155712.0,13072.0,0
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,416.0,104584293.0,14800.0,1
Forever (feat. Fridayy),It's Only Me,Lil Baby,10/14/2022,2906.0,28422099.0,15743.0,1
Hass Hass,Hass Hass - Single,Diljit Dosanjh,10/27/2023,1370.0,148785957.0,15940.0,0
Cheat On Me (feat. Dave),Cheat On Me (feat. Dave),Burna Boy,8/22/2023,3293.0,10407451.0,16954.0,1
Lose It,Lose It,Through Fire,2/14/2023,4273.0,226550416.0,17823.0,0
"Naa Ready (From ""Leo"")","Naa Ready (From ""Leo"")",Anirudh Ravichander,6/22/2023,1058.0,347065741.0,18800.0,0
Mood Malandro,Mood Malandro,Cï¿½ï¿½dig,8/24/2023,2538.0,87069499.0,18855.0,0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/2023,1379.0,290394869.0,19132.0,0
Dil Meri Na Sune,"Dil Meri Na Sune (From ""Genius"")",Atif Aslam,7/27/2018,4575.0,943920245.0,19935.0,0
AM Remix,AM Remix,Nio Garcia,6/24/2021,2956.0,71477120.0,20390.0,1
BANZAI!,BANZAI!,Kazuo,12/24/2022,2769.0,341971709.0,20739.0,1
Did Me Wrong,B4 BOA - Single,A Boogie Wit da Hoodie,9/8/2023,3820.0,10840662.0,20835.0,1
Regalo De Dios,PRESENTE,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,11/17/2023,498.0,242715015.0,20904.0,0
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11/8/2023,2628.0,51878795.0,21053.0,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,15.0,6736502312.0,22234.0,0
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,2858.0,23217618.0,22700.0,0
ULTRA SOLO REMIX,ULTRA SOLO Remix,Polimï¿½ï¿½ Westc,6/16/2022,1641.0,317404552.0,24715.0,0
FRI(END)S,FRI(END)S,V,3/15/2024,1203.0,38102046.0,26700.0,0
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,6/3/2021,2202.0,764803929.0,27723.0,0
ýýýýýýýýýýýý (ýýýýýýýýýýýýýý ýýýýýýýýýýýý) [prod. by wex & heysubr],ýýýýýýýýýýýý (ýýýýýýýýýýýýýý ýýýýýýýýýýýý) [prod. by wex & heysubr],BUSHIDO ZHO,5/3/2024,4599.0,10423004.0,27800.0,1
CUAL ES ESA,FERXXOCALIPSIS,Feid,12/1/2023,3285.0,46945484.0,28600.0,1
Joy (In My Own Time) - Tribe Song,Joy (In My Own Time) [Tribe Song],DAMIEN,3/31/2023,1880.0,371579831.0,29251.0,0
Enjoy Enjaami,Enjoy Enjaami,Dhee,3/5/2021,4054.0,549781386.0,29422.0,0
What's My Name?,Loud (Japan Version),Rihanna,1/1/2010,4011.0,1049777851.0,32366.0,0
DArkSide,DArkSide,Bring Me The Horizon,10/13/2023,4544.0,5393767.0,32457.0,1
Sweet Venom,ORANGE BLOOD,ENHYPEN,11/17/2023,4233.0,51139042.0,34200.0,0
Koka,Koka,Mankirt Aulakh,11/6/2023,2417.0,142222735.0,34208.0,0
ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,MORGENSHTERN,3/8/2024,3328.0,35976070.0,35066.0,1
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,10/23/2014,2227.0,897454562.0,35885.0,0
Kalkatiya Raja,Kalkatiya Raja,Pawan Singh,9/22/2023,2545.0,171883395.0,36029.0,0
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,817.0,1489647996.0,36437.0,0
Illusion,Illusion,Dua Lipa,4/11/2024,225.0,3947610.0,38200.0,1
Monotonï¿½,Monotonï¿½,Shakira,10/19/2022,903.0,306510173.0,38341.0,0
Faded,Faded,Benjamin Richter,7/28/2017,458.0,4542997940.0,38402.0,0
Gulabi Sharara,Gulabi Sharara,Inder Arya,7/27/2023,2122.0,219300210.0,38956.0,0
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,975.0,15389385.0,39100.0,1
Think U The Shit (Fart),Think U The Shit (Fart),Ice Spice,1/26/2024,2155.0,35869265.0,40600.0,1
"Akh Lad Jaave (From ""Loveyatri"")","Akh Lad Jaave (From ""Loveyatri"")",Badshah,8/23/2018,3950.0,966173774.0,49191.0,0
I Don't Care,I Don't Care - Single,Boy Spyce,2/23/2024,723.0,3869518.0,50840.0,0
